Timestamp,Device,Action
2025-06-19 05:24:34,led1,ON
2025-06-19 05:24:38,led1,ON
2025-06-19 05:24:38,led2,ON
2025-06-19 05:24:40,led1,ON
2025-06-19 05:24:40,led2,ON
2025-06-19 05:24:40,fan,ON
2025-06-19 05:25:06,led1,ON
2025-06-19 05:25:06,led2,ON
2025-06-19 05:25:08,led1,ON
2025-06-19 05:25:26,fan,ON
2025-06-19 05:25:28,led2,ON
2025-06-19 05:25:31,led1,ON
2025-06-19 05:25:31,led2,ON
2025-06-19 05:25:33,led1,ON
2025-06-19 05:25:33,led2,ON
2025-06-19 05:25:33,fan,ON
2025-06-19 05:25:58,led1,ON
2025-06-19 05:25:58,led2,ON
2025-06-19 05:25:58,fan,ON
2025-06-19 05:26:02,led1,ON
2025-06-19 05:26:02,led2,ON
2025-06-19 05:26:05,led1,ON
2025-06-19 05:27:34,led1,ON
2025-06-19 05:27:37,led1,ON
2025-06-19 05:27:37,led2,ON
2025-06-19 05:27:53,led1,ON
2025-06-19 05:27:53,led2,ON
2025-06-19 05:27:53,fan,ON
2025-06-19 05:34:31,led1,ON
2025-06-19 05:34:31,led2,ON
2025-06-19 05:34:31,fan,ON
2025-06-19 05:34:36,led1,ON
2025-06-19 05:36:58,led1,ON
2025-06-19 05:36:58,led2,ON
2025-06-19 05:40:55,led1,ON
2025-06-19 05:40:55,led2,ON
2025-06-19 05:41:13,led1,ON
2025-06-19 05:41:13,led2,ON
2025-06-19 05:41:13,fan,ON
2025-06-19 05:41:14,led2,ON
2025-06-19 05:41:14,fan,ON
2025-06-19 06:01:18,fan,ON
2025-06-19 06:01:20,fan,ON
2025-06-19 06:01:39,led1,ON
2025-06-19 06:01:39,led2,ON
2025-06-19 06:01:40,led1,ON
2025-06-19 06:01:40,led2,ON
2025-06-19 06:01:40,door,ON
2025-06-19 06:01:41,led1,ON
2025-06-19 06:01:41,led2,ON
2025-06-19 06:01:41,fan,ON
2025-06-19 06:01:41,door,ON
2025-06-19 06:02:10,led1,ON
2025-06-19 06:02:10,led2,ON
2025-06-19 06:02:10,fan,ON
2025-06-19 06:02:10,door,ON
2025-06-19 06:07:17,led1,ON
2025-06-19 06:07:17,led2,ON
2025-06-19 06:07:19,led1,ON
2025-06-19 06:07:19,led2,ON
2025-06-19 06:07:19,door,ON
2025-06-19 06:08:05,led1,ON
2025-06-19 06:08:05,led2,ON
2025-06-19 06:08:05,fan,ON
2025-06-19 06:08:05,door,ON
2025-06-19 06:10:26,led1,ON
2025-06-19 06:10:26,led2,ON
2025-06-19 06:11:13,led1,ON
2025-06-19 06:11:13,led2,ON
2025-06-19 06:13:15,led1,ON
2025-06-19 06:13:15,led2,ON
2025-06-19 06:13:18,led1,ON
2025-06-19 06:13:25,led1,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:23,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:24,led2,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:33,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:34,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:57,led1,ON
2025-06-19 06:18:57,led1,ON
2025-06-19 06:18:57,led1,ON
2025-06-19 06:18:57,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:58,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:18:59,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:00,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 07:17:56,led1,ON
2025-06-19 07:17:56,led1,ON
2025-06-19 07:17:56,led1,ON
2025-06-19 07:17:56,led1,ON
